文件名,鱼类名称,拉丁学名,英文名,科属,原产地,成年体长,适宜水温,适宜pH值,适宜硬度,光照要求,换水频率,食物习性,饲养难度,混养建议,繁殖方式,特殊要求,数据来源,提取状态,信息完整度,水质要求,活动水层,性格特点,疾病预防,寿命年限,最小鱼缸,类型
T字短鲷.jpg,T字短鲷,[待补充] T字短鲷,T字短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
一点皇冠.jpg,一点皇冠,[待补充] 一点皇冠,一点皇冠 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
V字火箭.jpg,V字火箭,[待补充] V字火箭,V字火箭 (待翻译),脂鲤科,南美洲,,24-28℃,6.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,中等 ,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
一间皇后.jpg,一间皇后,[待补充] 一间皇后,一间皇后 (待翻译),脂鲤科,南美洲,,24-28℃,7.8-8.4,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
七彩皇冠.jpg,七彩皇冠,[待补充] 七彩皇冠,七彩皇冠 (待翻译),脂鲤科,南美洲,,24-30℃,6.0-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
三棘狮子鱼.jpg,三棘狮子鱼,[待补充] 三棘狮子鱼,三棘狮子鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
三线短鲷.jpg,三线短鲷,[待补充] 三线短鲷,三线短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
三色神仙.jpg,三色神仙,[待补充] 三色神仙,三色神仙 (待翻译),慈鲷科,南美洲,,24-30℃,6.0-7.5,5-15 dGH,中等光照,每周1/3,杂食偏肉食,中等,可与温和鱼混养，提供足够空间,平板繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,5-10年,100升,
七间短鲷.jpg,七间短鲷,[待补充] 七间短鲷,七间短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,23-29℃,6.2-6.8,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,热带鱼
三间鱼.jpg,三间鱼,[待补充] 三间鱼,三间鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
